,0
0,丁郎认父
1,三春
2,严老爷
3,丰儿
4,临安伯
5,乌木做
6,云
7,云儿
8,云儿说唱
9,云光断守备退婚
10,京兆尹
11,仆役
12,代儒
13,代儒平时
14,令郎真是
15,任李纨劝
16,何三
17,你琏
18,佳蕙
19,侯门深似海’
20,倪二
21,倪二发狠
22,倪二娘子
23,元春
24,元真观
25,公差
26,兰哥儿
27,兵丁私藏
28,冯
29,冯公子
30,冯公子空
31,冯唐
32,冯家
33,冯家住
34,冯将军府上
35,冯渊
36,冯紫英
37,冯紫英派人
38,冯胖子
39,冷子兴
40,凤
41,凤丫头
42,凤哥儿
43,凤姐
44,凤姐儿
45,凤姐儿一来
46,凤姐儿不在家
47,凤姐儿不用心
48,凤姐儿先
49,凤姐儿处
50,凤姐儿好容易
51,凤姐儿情知荣府就
52,凤姐儿房中
53,凤姐儿早
54,凤姐儿横死
55,凤姐儿点
56,凤姐儿笑
57,凤姐儿等
58,凤姐儿谢了
59,凤姐儿贤德
60,凤姐儿长叹
61,凤姐姐
62,凤姑娘
63,刘
64,刘二当衣
65,刘亲家
66,刘姥姥
67,刘氏
68,刘邦斩蛇起义
69,刘铁嘴
70,包勇
71,包勇一纵身上了房
72,包勇不由大怒
73,包勇忽
74,包勇打死
75,包勇提棒
76,北静
77,北静王
78,北静王奏知
79,单聘仁
80,卜固修
81,占花魁
82,史侯回京
83,史大
84,史大妹妹
85,史大姑娘
86,史姑娘
87,史湘云
88,史老太君极爱
89,叶妈
90,司棋
91,司棋倒横下心来
92,司棋做贼心虚
93,司棋自小和表哥
94,司马相如
95,向宁
96,向宝玉
97,吴兴家
98,吴家
99,吴巡抚
100,吴新登
101,吴贵家
102,周
103,周大娘
104,周姨娘
105,周家
106,周母
107,周瑞
108,周瑞为
109,周瑞家
110,周瑞家的
111,周瑞总管
112,周管家
113,唐伯虎
114,唐多令
115,四儿
116,四姑奶奶
117,圆信
118,士隐
119,士隐同
120,士隐夫妇
121,士隐已
122,士隐留客人
123,士隐直睡到日上三竿才
124,士隐要
125,士隐让
126,夏
127,夏太监
128,夏妈
129,夏子
130,夏家
131,夏母
132,夏母教
133,夏秉忠
134,夏秉忠传谕
135,妙公轻易不出禅门
136,妙玉
137,妙玉冷笑
138,妙玉心头一动
139,妙玉忙站
140,妙玉问
141,子兴
142,子兴冷笑
143,孔孟之道
144,孔梅溪
145,孙媳妇
146,孙家
147,孙家来人
148,孙家祖上
149,孙的
150,孙绍祖
151,孟光
152,学里先生
153,宁公
154,宁公是老大
155,宁国公
156,宁国府
157,安
158,宋
159,宋妈
160,宋妈声张
161,宋嬷嬷
162,宋江
163,宝
164,宝二叔
165,宝二爷
166,宝兄弟
167,宝哥哥
168,宝姐姐
169,宝玉
170,宝玉一把拉住
171,宝玉三
172,宝玉不由心头
173,宝玉不肯回
174,宝玉不解
175,宝玉今儿
176,宝玉会意
177,宝玉做媒
178,宝玉兄妹
179,宝玉先
180,宝玉先说
181,宝玉兴高采烈
182,宝玉刚
183,宝玉原
184,宝玉原怕
185,宝玉去
186,宝玉去见
187,宝玉叔侄
188,宝玉叹
189,宝玉哈哈
190,宝玉哪见过
191,宝玉啐他一口
192,宝玉回明贾母
193,宝玉天
194,宝玉夫妻
195,宝玉夸
196,宝玉夸巧姐儿
197,宝玉如
198,宝玉如实说了
199,宝玉寻思
200,宝玉平日
201,宝玉忙
202,宝玉忙分辩
203,宝玉忙劝
204,宝玉忙双手
205,宝玉忙拉住
206,宝玉忙捂
207,宝玉忙用
208,宝玉忙给
209,宝玉忙跟进来
210,宝玉怨张道士
211,宝玉情不自禁
212,宝玉才
213,宝玉才知
214,宝玉才知应
215,宝玉拉
216,宝玉方
217,宝玉早
218,宝玉来
219,宝玉来看
220,宝玉果然
221,宝玉正
222,宝玉正逃
223,宝玉猛地
224,宝玉玩笑
225,宝玉直催饭
226,宝玉知
227,宝玉笑嘻嘻
228,宝玉胡思乱想
229,宝玉自见
230,宝玉见
231,宝玉见是
232,宝玉见玉钏儿
233,宝玉见袭人
234,宝玉见袭人等哭
235,宝玉解溲
236,宝玉让
237,宝玉诊罢脉
238,宝玉说
239,宝玉请安
240,宝玉跟在
241,宝玉边
242,宝玉边求饶边
243,宝玉连忙
244,宝玉逃
245,宝玉道了谢
246,宝玉顿觉
247,宝琴
248,宝琴守
249,封氏
250,封肃
251,封肃正
252,小厮
253,小厮们
254,小厮打
255,小旦
256,小旦龄官
257,小王在世翁
258,小童
259,小红
260,小红忙跑
261,小红走来
262,尤
263,尤三姐
264,尤三姐自杀
265,尤二姐
266,尤姥娘
267,尤氏
268,尤氏刚好
269,尤氏报称
270,尤氏正
271,尤氏贪走近路
272,岫烟
273,崔莺莺
274,崔颢
275,平儿
276,平姑娘
277,庄子
278,庄子文
279,张
280,张华
281,张华些
282,张华来
283,张华没死
284,张友士
285,张大老爷
286,张妈
287,张妈常
288,张家
289,张家急
290,张德辉
291,张材家的
292,张法官
293,张财主
294,张道士
295,张道士先
296,悼红轩
297,惜春
298,惜春失声
299,惜春正怕
300,惜春说
301,惠明
302,戴权
303,戴权来
304,戴笠披簑
305,抚琴
306,抚琴呢
307,探春
308,探春不
309,探春忙说
310,探春才
311,探春沉下脸
312,探春等
313,探花
314,政公
315,施主
316,施眼色
317,施礼
318,旺儿
319,旺儿媳妇
320,明儿
321,明太太
322,春燕
323,昭儿
324,昭容传谕
325,昭容再
326,晴雯
327,晴雯等
328,曹唐
329,曹雪芹
330,曾祖
331,李
332,李先儿
333,李商隐诗中
334,李奶子
335,李妈
336,李婶娘
337,李嬷嬷
338,李守中
339,李白
340,李纨
341,李纨劝
342,李纨处
343,李纨姑嫂代凤姐儿
344,李纨忙收拾
345,李纨怕夜太
346,李纨急
347,李纨房中
348,李纨才
349,李纨理家
350,李纨看
351,李纹
352,李绮
353,李老太太气
354,李贵
355,李贵忙劝
356,李贵迎
357,李逵
358,杜撰
359,杜甫
360,杨国忠
361,杨贵妃
362,杨贵妃春睡
363,板儿
364,板儿几句话
365,林
366,林丫头
367,林之孝
368,林之孝家
369,林之孝家的
370,林之孝忙求情
371,林之孝等
372,林之孝连
373,林四娘
374,林奶奶
375,林如海
376,林如海身染重疾
377,林如海面谈
378,林妹妹
379,林姐儿
380,林姐夫
381,林姐姐
382,林姑娘
383,林姑爷
384,林姑老爷
385,林字
386,林家
387,林家父女情
388,林家的
389,林府
390,林海
391,林的
392,林黛玉
393,柳嫂
394,柳嫂好
395,柳嫂母女
396,柳家
397,柳湘莲
398,柳湘莲拉薛蟠
399,柳湘莲酒醒
400,梁鸿案
401,梅翰林
402,武则天
403,毕号知庵
404,毕大夫
405,毕知庵
406,水月庵
407,水溶
408,水溶先
409,求宝玉
410,沁芳’
411,沁芳亭
412,洪福
413,清凤姐儿
414,温
415,温庭筠
416,湘云
417,湘莲
418,湘莲去向不明
419,潇湘妃子
420,潘
421,潘又安
422,潘又安帖儿
423,潘家
424,焦大
425,焦大却
426,焦大哪
427,焦大喝醉
428,焦大大
429,焦大趁
430,熙凤
431,熙凤拉黛玉
432,玉钏儿
433,玉钏儿不信
434,玉钏儿才知宝玉
435,玉钏儿母亲
436,玉钏儿面带怒意
437,王
438,王二公
439,王仁
440,王仁家
441,王八羔子
442,王公子
443,王善保
444,王大夫
445,王太医
446,王太医重开
447,王夫人
448,王夫人儿
449,王夫人处
450,王夫人处来
451,王夫人房中
452,王夫人房后
453,王夫人房里
454,王夫人才声色俱厉
455,王夫人方略宽些心
456,王夫人等
457,王嬷嬷
458,王子腾
459,王子腾鞍马劳顿
460,王孙公子
461,王家
462,王家的
463,王尔调
464,王成死
465,王氏
466,王熙凤
467,王爷
468,王维
469,王羲之
470,环哥儿
471,环老三
472,珍
473,珍大哥
474,珍大嫂子
475,珍大爷
476,琏
477,琏二奶奶
478,琏嫂子
479,甄
480,甄士隐
481,甄士隐想
482,甄太太
483,甄宝玉
484,甄宝玉大谈
485,甄家
486,甄应嘉
487,甄爷
488,甄老爷
489,田家
490,白海棠
491,石呆子
492,石呆子本有
493,秋桐
494,秋桐气不忿
495,秋纹
496,秦业
497,秦业气得
498,秦可卿
499,秦家
500,秦家老仆
501,秦少游
502,秦氏
503,秦氏正
504,秦氏瘦得
505,秦相公
506,秦钟
507,秦钟一同
508,秦钟不中了
509,秦钟几句
510,秦钟去
511,秦钟同上贾氏
512,秦钟巴
513,秦钟并尤氏
514,秦钟拜
515,秦钟来
516,秦钟相貌标致
517,秦钟自
518,程日兴
519,空空说
520,紫英
521,经云儿
522,给宁
523,绛芸轩
524,绣橘
525,绣橘等
526,绣橘要
527,翠缕
528,翠缕拾来看
529,老刘
530,老叶妈
531,老宁国公
532,胡
533,胡大夫
534,胡思乱想
535,艾官
536,花大姐姐
537,花自芳
538,芳官
539,芳官脸
540,芳官要
541,英莲
542,茜雪
543,荣
544,荣二祖
545,荣公死后
546,荣国公
547,荣国公羡慕孙家
548,荣国公门下
549,莺儿
550,蒋
551,蒋玉菡
552,蓉哥儿
553,蓼汀
554,蔷
555,蔺相如
556,薛
557,薛公子
558,薛姨妈
559,薛姨妈家
560,薛家
561,薛家开
562,薛家当铺
563,薛母
564,薛蝌
565,薛蝌派人
566,薛蟠
567,薛蟠不惯
568,薛蟠为妻
569,薛蟠乐
570,薛蟠倒不
571,薛蟠哄
572,薛蟠回来
573,薛蟠大相径庭
574,薛蟠嫌不够味
575,薛蟠开脱
576,薛蟠情知
577,薛蟠成
578,薛蟠才
579,薛蟠打官司
580,薛蟠打死人命
581,薛蟠拜见
582,薛蟠放肆无度
583,薛蟠来
584,薛蟠来吊丧
585,薛蟠正好
586,薛蟠没
587,薛蟠派人
588,薛蟠绞刑
589,薛蟠羞得无地自容
590,薛蟠翻
591,薛蟠胡闹
592,薛蟠词穷理屈
593,薛蟠说
594,薛蟠请
595,薛蟠走
596,薛蟠起初
597,薛蟠这才知话说重
598,薛蟠连连
599,薛蟠闹去
600,虞姬
601,蝉儿
602,衡芷清芬’
603,袭人等丫头
604,西施捧心之娇态
605,詹光
606,詹光说是
607,讼宜和
608,谢恩师
609,贵同宗家
610,费婆子
611,贺喜
612,贾
613,贾不假
614,贾代儒
615,贾兄
616,贾兰
617,贾兰中
618,贾兰先
619,贾兰告辞
620,贾兰念
621,贾兰投考
622,贾兰来
623,贾兰走后
624,贾名化
625,贾大人
626,贾妃一族
627,贾娘娘
628,贾宝玉
629,贾家
630,贾家至亲骨肉
631,贾府
632,贾府上
633,贾府仆人
634,贾府养
635,贾府凡
636,贾府生怕
637,贾政
638,贾政一本
639,贾政上朝奏本
640,贾政下朝
641,贾政不
642,贾政不惯
643,贾政不知
644,贾政书信
645,贾政人品端方
646,贾政传去
647,贾政兄弟
648,贾政再
649,贾政再托门子
650,贾政到家
651,贾政劝
652,贾政升
653,贾政叹息甄老爷
654,贾政启程
655,贾政命宝玉
656,贾政喜不自胜
657,贾政喝令
658,贾政大嚷
659,贾政如同
660,贾政嫌
661,贾政家产发还
662,贾政已
663,贾政忙
664,贾政忙退下
665,贾政悲
666,贾政悲谶语
667,贾政惊魂稍定
668,贾政想
669,贾政房中
670,贾政才
671,贾政报了丁忧
672,贾政有孝在身
673,贾政本
674,贾政正
675,贾政正在
676,贾政没难为
677,贾政派
678,贾政直挺挺坐
679,贾政真
680,贾政等
681,贾政纵容部下为非作歹
682,贾政结秦晋之
683,贾政考
684,贾政自幼酷爱读书
685,贾政荐举
686,贾政虽
687,贾政袭
688,贾政要
689,贾政要看
690,贾政要银子
691,贾政见
692,贾政见因
693,贾政见宝玉
694,贾政见宝玉渐好
695,贾政让
696,贾政让交
697,贾政让小厮
698,贾政记
699,贾政说
700,贾政谢了
701,贾政谢了恩
702,贾政质问
703,贾政赔笑
704,贾政走后
705,贾政连忙
706,贾政连连
707,贾政都
708,贾政长叹
709,贾政问
710,贾政陪
711,贾政领回
712,贾敏
713,贾敬
714,贾敬一心想成仙
715,贾敬主祭
716,贾敬修道
717,贾敬已
718,贾敬快要得道成仙
719,贾敬断七
720,贾敬装裹
721,贾敬验尸
722,贾母
723,贾母不
724,贾母不依
725,贾母不信
726,贾母不见
727,贾母乘兴
728,贾母住
729,贾母动怒
730,贾母向
731,贾母听
732,贾母告辞
733,贾母命
734,贾母命把头家
735,贾母啐
736,贾母处
737,贾母夸贾兰
738,贾母嫌
739,贾母居中坐
740,贾母归地府
741,贾母忙说
742,贾母恨
743,贾母惜
744,贾母惜孤女
745,贾母成全
746,贾母房
747,贾母房中
748,贾母房里
749,贾母才
750,贾母打发人
751,贾母把盏
752,贾母插花
753,贾母收有
754,贾母方
755,贾母本
756,贾母本想
757,贾母来时
758,贾母来看
759,贾母止住步
760,贾母正
761,贾母派人
762,贾母猜
763,贾母略
764,贾母盘问
765,贾母知
766,贾母神色大变
767,贾母等
768,贾母等早饭后
769,贾母让
770,贾母让撤去
771,贾母让给
772,贾母说
773,贾母跟前
774,贾母过目
775,贾母道晚安
776,贾母问
777,贾氏
778,贾爷五更
779,贾环
780,贾环先
781,贾环哄来问一
782,贾环忙
783,贾环才
784,贾环明知
785,贾环正
786,贾环见
787,贾环记在
788,贾珍
789,贾珍不在家
790,贾珍不该
791,贾珍之
792,贾珍勾引世家子弟
793,贾珍发到
794,贾珍呵斥
795,贾珍命人
796,贾珍商量定
797,贾珍因
798,贾珍嫌
799,贾珍家
800,贾珍忙问
801,贾珍正要
802,贾珍等
803,贾珍胆
804,贾珍虽
805,贾珍袭
806,贾珍见
807,贾珍见天色
808,贾珍说请
809,贾珍赔笑
810,贾珠
811,贾珠来
812,贾琏
813,贾琏南下
814,贾琏圆房
815,贾琏家
816,贾琏尔虞我诈
817,贾琏百般
818,贾琏高利
819,贾琮
820,贾瑞
821,贾瑞一
822,贾瑞不怀好意
823,贾瑞喜欢
824,贾瑞如同
825,贾瑞方
826,贾瑞正
827,贾瑞求欢
828,贾瑞自幼父母
829,贾瑞记吃不记打
830,贾芸
831,贾芸不识抬举
832,贾芸呢
833,贾芸家道
834,贾芸忙
835,贾芸见
836,贾芸飞马
837,贾芸飞马回府
838,贾蓉
839,贾蓉不依
840,贾蓉先
841,贾蓉前妻
842,贾蓉年幼
843,贾蓉应
844,贾蓉才
845,贾蓉知
846,贾蓉等
847,贾蓉自打耳光
848,贾蓉要
849,贾蓉进来
850,贾蔷
851,贾蔷假充和事佬
852,贾蔷先
853,贾赦
854,贾赦一商量
855,贾赦不
856,贾赦主意已定
857,贾赦发到
858,贾赦好
859,贾赦审问
860,贾赦家
861,贾赦知
862,贾赦等
863,贾赦起
864,贾赦逼死人命
865,贾赦陪祭
866,贾门秦氏宜人之灵位
867,贾雨村
868,贾雨村为媒
869,贾雨村言
870,赖
871,赖二
872,赖升
873,赖升家
874,赖升得知
875,赖升扣
876,赖大
877,赖大与大小管家
878,赖大家
879,赖大来
880,赖大的
881,赖大等
882,赖大细问
883,赖大说
884,赖大请
885,赖大赶来
886,赖大跑
887,赖尚荣
888,赖管家
889,赵
890,赵全
891,赵全不依
892,赵全从无交情
893,赵全只好
894,赵全正要
895,赵国基
896,赵堂官
897,赵堂官命
898,赵姨娘
899,赵姨娘中
900,赵姨娘兄弟
901,赵姨娘房中
902,赵姨娘气不忿
903,赵嬷嬷
904,赵飞燕
905,迎春
906,迎春三
907,迎春等
908,邢
909,邢夫人
910,邢夫人使
911,邢家
912,邢岫烟
913,邢德全
914,邢氏
915,邢舅太爷
916,邬家
917,郑华家
918,郭子仪七子八婿都
919,金桂
920,金桂主婢
921,金桂先
922,金桂回家
923,金桂想
924,金桂本视
925,金钏儿
926,钟繇
927,锦衣卫去
928,长安守备
929,阎王
930,阎王勾去
931,阴司
932,陶渊明
933,雨村
934,雨村兄
935,雨村兄恭喜
936,雨村大怒
937,雨村得士隐赠银相助
938,雨村忙说
939,雨村打恭称谢
940,雨村正色
941,雨村求林如海
942,雨村谢了
943,雪芹
944,雪雁
945,雪雁强忍住
946,雪雁来
947,雪雁说
948,霍启抱英莲
949,霍启要解小便
950,香菱
951,马道婆
952,马道婆害宝二爷
953,高明
954,鲍
955,鲍二
956,鲍二一房
957,鲍二家
958,鲍家才
959,鲸卿
960,黄
961,黄妈
962,黄鹰
963,黛
964,黛玉
965,黛玉一
966,黛玉一一
967,黛玉不
968,黛玉不愿见
969,黛玉不理宝玉
970,黛玉不等
971,黛玉中了暑
972,黛玉为
973,黛玉体弱多病
974,黛玉作
975,黛玉先
976,黛玉初时
977,黛玉原
978,黛玉取笑
979,黛玉只
980,黛玉告了
981,黛玉哇的
982,黛玉啐他
983,黛玉夺过
984,黛玉如
985,黛玉年幼
986,黛玉强作笑颜
987,黛玉待要不理他
988,黛玉忙
989,黛玉忙忍住泪
990,黛玉才
991,黛玉才施礼下拜
992,黛玉扑哧
993,黛玉把手帕
994,黛玉拉
995,黛玉方才
996,黛玉暗想
997,黛玉更
998,黛玉本
999,黛玉本想
1000,黛玉来夺
1001,黛玉果真
1002,黛玉正
1003,黛玉死盯
1004,黛玉气哭
1005,黛玉灵柩
1006,黛玉点
1007,黛玉理也不理
1008,黛玉疑心
1009,黛玉睡
1010,黛玉知
1011,黛玉神色
1012,黛玉立
1013,黛玉笑
1014,黛玉等
1015,黛玉腾不出手
1016,黛玉自幼
1017,黛玉茶饭无心
1018,黛玉见
1019,黛玉见有
1020,黛玉让袭人
1021,黛玉记下来
1022,黛玉说
1023,黛玉走后
1024,黛玉起
1025,黛玉起身见礼
1026,黛玉越发生气
1027,黛玉连
1028,黛玉问
1029,黛玉问清
1030,龄官
